Name,State,Category,Files,Count Raw,Count Nested
Gary_Daniels,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Tammy_Simmons,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Aaron_Gill,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Linda_Luhtala,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Skip_Cleaver,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Susan_Ticehurst,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Timothy_Horrigan,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Sue_Gottling,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Luisa_Piette,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Ruth_Ward,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Tom_Harris,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Sallie_Fellows,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Fran_Nutter-Upham,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Bill_Ohm,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Martha_Fuller_Clark,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Jacqueline_Chretien,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Jose_Cambrils,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Virginia_Drye,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Kris_Schultz,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Laura_Telerski,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Rebecca_Hutchinson,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
David_Watters,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Kevin_Avard,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Peter_Bixby,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Margaret_Drye,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Sharon_Carson,New Hampshire,pending,files; Confirmed; pdf; HTMLS,3,0
Angela_Urlacher,Illinois,problems,files; pdf,1,0
Jerry_Long,Illinois,problems,files; pdf,1,0
John_Curtis,Illinois,problems,files; pdf,1,0
Alyssia_Benford,Illinois,problems,files; pdf,1,0
Andrew_Cuming,Illinois,problems,files; pdf,1,0
Ben_Olson,Illinois,problems,files; pdf,1,0
Jeff_Hoverson,Illinois,problems,files; pdf,1,0
Rob_Wagner,Illinois,problems,files; pdf,1,0
Chuck_Thomsen,Illinois,problems,files; pdf,1,0
Napoleon_Harris,Illinois,problems,files; pdf,1,0
Sierra_Heitkamp,Illinois,problems,files; pdf,1,0
Jerred_Taylor,Illinois,problems,files; pdf,1,0
Floyd_Prozanski,Illinois,problems,files; pdf,1,0
Michelle_Strinden,Illinois,problems,files; pdf,1,0
Alan_Olsen,Illinois,problems,files; pdf,1,0
Mary_Adams,Illinois,problems,files; pdf,1,0
Lynn_Findley,Illinois,problems,files; pdf,1,0
Kelly_Cassidy,Illinois,problems,files; pdf,1,0
Erin_Oban,Illinois,problems,files; pdf,1,0
Tom_Kading,Illinois,problems,files; pdf,1,0
