long.fips,long.name,short.fips,year,median.age,hs.plus,bachelors.plus,ag.percent.employ,mean.income,median.income,white.percent,papers.total,papers.daily,ktype_use,k.seats,party.presence,party.comp,general.presence,general.comp,population,pop_density
620L500US36122,"Assembly District 122 (2016), New York",36122,2018,44.5,89,20.3,2.5,63544,51280,96.46,32950,5961,SMD,1,1,1,1,1,130343,65.87777563
620L500US36123,"Assembly District 123 (2016), New York",36123,2018,37.3,89.9,30.3,0.23,59681,43019,81.16,13110,2622,SMD,1,0,0,1,1,129839,1329.350575
620L500US36124,"Assembly District 124 (2016), New York",36124,2018,41.7,90.1,25,0.61,67521,52186,91.3,8215,2697,SMD,1,1,1,1,1,133088,164.3879609
620L500US36125,"Assembly District 125 (2016), New York",36125,2018,31,93.6,45.6,1.48,72537,52610,83.75,19526,4116,SMD,1,1,1,1,1,135973,217.6191261
620L500US36126,"Assembly District 126 (2016), New York",36126,2018,43.4,90.6,27.9,2.86,72561,56536,93.01,19920,5970,SMD,1,1,1,1,1,134384,101.4594842
620L500US36127,"Assembly District 127 (2016), New York",36127,2018,41,95.2,38.2,0.87,88650,70435,91.31,18165,2595,SMD,1,1,1,1,1,135718,477.7389786
620L500US36128,"Assembly District 128 (2016), New York",36128,2018,38.3,87.6,32.6,0.24,69426,50069,69.5,18991,2713,SMD,1,1,1,1,1,127070,1047.965428
620L500US36129,"Assembly District 129 (2016), New York",36129,2018,33.5,85.1,28.2,0.16,54542,39920,70.5,17318,2474,SMD,1,1,1,1,1,129891,2064.580221
620L500US36013,"Assembly District 13 (2016), New York",36013,2018,41.9,90.3,53.3,0.28,158245,112361,67.96,87120,0,SMD,1,1,1,1,1,129505,3309.101594
620L500US36130,"Assembly District 130 (2016), New York",36130,2018,42.1,89.7,21.3,2.95,65940,53386,93.81,12930,2053,SMD,1,1,1,1,1,131720,134.2146477
620L500US36131,"Assembly District 131 (2016), New York",36131,2018,43.3,91.9,30.1,1.7,74386,56672,93.56,14079,7630,SMD,1,1,1,1,1,134043,160.8148056
620L500US36132,"Assembly District 132 (2016), New York",36132,2018,43,88.3,23.1,3.55,67104,50819,94.47,19846,9741,SMD,1,0,0,1,1,134983,70.44578488
620L500US36133,"Assembly District 133 (2016), New York",36133,2018,42.1,92,36.6,1.98,86656,60973,92.91,27603,4280,SMD,1,1,1,1,1,134635,135.1535843
620L500US36134,"Assembly District 134 (2016), New York",36134,2018,43.2,93.2,29.8,0.35,71939,58753,89.51,22224,1852,SMD,1,1,1,1,1,132597,1052.708046
620L500US36135,"Assembly District 135 (2016), New York",36135,2018,44.1,95.5,49.9,0.22,92063,73937,92.03,20220,1685,SMD,1,1,1,1,1,134447,1265.383529
620L500US36136,"Assembly District 136 (2016), New York",36136,2018,40.1,90.2,39.1,0.15,69693,51330,74.75,25932,2161,SMD,1,0,0,1,1,133778,3161.778261
620L500US36137,"Assembly District 137 (2016), New York",36137,2018,31.1,78.2,15.6,0.07,42776,30883,40.66,23640,1970,SMD,1,0,0,1,1,132981,4509.359105
620L500US36138,"Assembly District 138 (2016), New York",36138,2018,33.7,89.7,38,0.19,63880,49682,73.1,22488,1874,SMD,1,1,1,1,1,132485,1569.429966
620L500US36139,"Assembly District 139 (2016), New York",36139,2018,41.8,90,22,3.37,64709,53009,91.89,11153,3057,SMD,1,0,0,1,1,131647,133.94019
620L500US36014,"Assembly District 14 (2016), New York",36014,2018,42.9,95,45.8,0.12,138685,118213,90.95,86720,0,SMD,1,1,1,1,1,126873,4271.818182
620L500US36140,"Assembly District 140 (2016), New York",36140,2018,41.2,91.2,28.6,0.11,60497,48942,86.46,25319,2199,SMD,1,1,1,1,1,129148,4086.574059
620L500US36141,"Assembly District 141 (2016), New York",36141,2018,33.3,83.7,21.8,0.08,43483,29190,29.22,30855,1815,SMD,1,1,1,1,1,127826,6616.595062
620L500US36142,"Assembly District 142 (2016), New York",36142,2018,42.9,90.9,28.1,0.22,71792,53934,92.59,29461,1733,SMD,1,1,1,1,1,130341,1815.991863
620L500US36143,"Assembly District 143 (2016), New York",36143,2018,42.7,92.2,24.8,0.14,65402,53296,88.6,29971,1763,SMD,1,1,1,1,1,130316,1940.352288
620L500US36144,"Assembly District 144 (2016), New York",36144,2018,43.6,92.1,28.5,1.16,79459,61325,92.11,17512,4584,SMD,1,1,1,1,1,133160,249.0927457
620L500US36145,"Assembly District 145 (2016), New York",36145,2018,42.6,91.3,26.7,0.44,66950,51409,84.08,9607,5111,SMD,1,0,0,1,1,128761,760.9763305
620L500US36146,"Assembly District 146 (2016), New York",36146,2018,41.1,95.5,52.9,0.16,95365,71624,82.89,23349,1573,SMD,1,1,1,1,1,131205,1634.138747
620L500US36147,"Assembly District 147 (2016), New York",36147,2018,44.7,91.5,24.5,2.69,74153,60642,93.49,47110,2538,SMD,1,1,1,1,1,139288,118.4602078
620L500US36148,"Assembly District 148 (2016), New York",36148,2018,40.4,88.4,18.8,2.85,55357,43994,93.54,27345,9919,SMD,1,1,1,1,1,129934,51.27954166
620L500US36149,"Assembly District 149 (2016), New York",36149,2018,34.9,87.3,34.3,0.2,66797,47452,73.87,30702,1806,SMD,1,1,1,1,1,131905,2421.919468
620L500US36015,"Assembly District 15 (2016), New York",36015,2018,44.3,92.1,45.2,0.19,145671,105624,78.21,93160,0,SMD,1,1,1,1,1,129589,2355.992291
620L500US36150,"Assembly District 150 (2016), New York",36150,2018,42,88.2,20.8,2.37,55820,43211,92.85,19188,12792,SMD,1,1,1,1,1,131748,124.2643064
620L500US36016,"Assembly District 16 (2016), New York",36016,2018,44.7,93.5,61.3,0.1,177463,115456,73.81,95080,0,SMD,1,1,1,1,1,131298,3724.448983
620L500US36017,"Assembly District 17 (2016), New York",36017,2018,42,92.9,35.4,0.05,119118,107049,85.35,77560,0,SMD,1,1,1,1,1,128772,6934.036939
